SMILES0,seg0_feat0,DP,density,Rg,self-diffusion,Cp,dielectric_const_dc,refractive_index
*C(=O)CC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O*,26,26,1.155381005,19.90037256,3.56E-13,2771.75911,2.915414008,1.567073237
*C(=O)c1ccc(cc1)C(=O)OCCCCCCCCO*,25,25,1.097684189,21.41232809,6.52E-13,3214.131474,2.620777791,1.505451601
*C(=O)c1ccc(cc1)C(=O)OCCCCCCCCCCO*,22,22,1.066740016,23.72376233,7.85E-13,3414.5582,2.552559828,1.508579068
*C(=O)c1ccc(cc1)C(=O)OCC(C)(C)C(C(C)C)O*,25,25,1.057504164,19.42027719,8.43E-13,3409.862353,2.57494598,1.501003785
*C(=O)c1ccc(cc1)C(=O)OCC(C)(C)CO*,32,32,1.137078661,19.71897535,6.49E-13,3049.035362,2.733097727,1.533406083
*C(=O)c1ccc(cc1)C(=O)OCC(CC(C1)C2C3)C1C2CC3CO*,22,22,1.125382734,23.39790394,1.18E-12,3254.841115,2.64612971,1.529625826
*C(=O)c1ccc(cc1)C(=O)OC(C)C(C)O*,35,35,1.149662716,20.9170241,3.68E-13,2857.35474,2.695457136,1.53724537
*C(=O)c1ccc(cc1)C(=O)OC(CC1)CCC1O*,31,31,1.141355176,18.83642503,3.24E-13,2929.590717,2.651009294,1.526009925
*C(=O)c1ccc(cc1)C(=O)OCCOCCO*,34,34,1.249936263,23.27878484,6.17E-13,3024.489311,2.94385696,1.55518403
*C(=O)c1ccc(cc1)C(=O)OCCOCCOCCO*,28,28,1.231046724,20.14401442,7.98E-13,3166.371203,3.265564179,1.545887585
*C(=O)c1ccc(cc1)C(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O*,22,22,1.218666122,25.47457913,1.42E-12,2634.417587,3.017540801,1.595107806
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O*,16,16,1.098397748,23.28736092,8.78E-13,3021.711786,2.93138765,1.599767391
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O*,19,19,1.146499668,25.43406433,2.01E-13,2744.163269,2.939578221,1.624217525
*C(=O)c1ccc(cc1)C(=O)Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O*,17,17,1.040446237,25.31810524,4.37E-13,2991.980832,2.590508057,1.549302411
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C2(c3ccccc3c4c2cccc4)c5ccc(cc5)O*,17,17,1.164030932,24.12314623,2.68E-13,2775.912112,3.061178725,1.653801577
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C2(CCCCC2)c3ccc(cc3)O*,19,19,1.134972711,24.89731032,6.18E-13,2927.167118,2.884382733,1.600936777
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O*,21,21,1.188908702,17.94066566,5.36E-13,2597.619354,2.981125138,1.64130807
*C(=O)COC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O*,17,17,1.120347825,22.95246236,3.22E-13,2995.925867,2.752188453,1.564491833
*C(=O)c(cccc1)c1C(=O)OC(C1CO1)C(C2CO2)O*,31,31,1.261181518,18.550246,7.43E-13,2684.802134,4.000064126,1.52266055
*C(=O)c(cccc1)c1C(=O)OC/C=C/CO*,38,38,1.225356413,21.05192533,6.94E-13,2989.841869,3.260534839,1.577997263
*C(=O)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O*,18,18,1.107400063,22.32282184,5.52E-13,2925.941671,2.784663475,1.567208866
*C(=O)c(cccc1)c1C(=O)Oc1c(ccc2)c(ccc1)c2O*,31,31,1.249516123,21.07326598,5.12E-13,2604.986678,3.15283418,1.649143196
*C(=O)COC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,32,32,1.313630972,19.79047952,3.01E-13,2388.209446,3.148169592,1.625360208
*C(=O)COC(=O)OCCSCCO*,43,43,1.308110851,21.20667638,4.99E-13,2625.077496,3.046452305,1.485381025
*C(=O)C(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O*,24,24,1.173963823,21.88827915,3.47E-13,2700.671659,2.86969901,1.596520194
*C(=O)COC(=O)Oc1cc2c(cc1)ccc(c2)O*,38,38,1.312091781,23.72590237,6.63E-13,2738.917255,3.249122422,1.619405531
*C(=O)C(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O*,21,21,1.027156186,18.48109562,2.02E-13,3458.387232,2.426404659,1.444548128
*C(=O)C(=O)OC(CS1)SCC1O*,55,55,1.399223309,21.41494094,3.84E-13,2173.157424,2.947125437,1.511004324
*C(=O)C(=O)OCCCCCCCCCCO*,28,28,1.043049446,23.36738155,1.79E-12,3653.15245,2.645534011,1.440669152
*C(=O)C(=O)OCC(CC)(CC)CO*,37,37,1.084270981,18.28765081,5.46E-13,3107.078347,2.481382087,1.437540402
*C(=O)C(=O)OCC(CC(C1)C2C3)C1C2CC3CO*,28,28,1.151690341,20.33528469,6.16E-13,3392.252409,2.651338146,1.479672244
*C(=O)CC(=O)Oc1ccc(cc1)Cc2ccc(cc2)O*,31,31,1.206904296,21.13276954,9.10E-13,2893.701975,3.056594718,1.589418927
*C(=O)C(=O)Oc1cc2c(cc1)ccc(c2)O*,45,45,1.32791677,24.87194186,1.61E-13,2403.070106,3.327496479,1.655852917
*C(=O)CCC(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O*,21,21,1.147148762,19.6866111,2.62E-13,2856.004211,3.078072048,1.586896855
*C(=O)CCC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,30,30,1.263518841,19.48004212,4.92E-13,2570.995332,3.445507452,1.628838902
*C(=O)CCCCCCCCC(=O)Oc1cccc(c1)O*,25,25,1.102811397,25.38025653,1.23E-12,3765.001377,3.442560461,1.521963759
*C(=O)CCC(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O*,24,24,1.221410681,22.08894835,4.33E-13,2542.326498,3.155681619,1.551497783
*C(=O)CCC(=O)OCC#CCO*,50,50,1.21378686,20.11259396,3.96E-13,2629.933015,3.023637891,1.503761006
*C(=O)CCC(=O)Oc1cc2c(cc1)ccc(c2)O*,35,35,1.264129591,21.36209791,4.22E-13,2684.660671,3.545338241,1.635337595
*C(=O)CCC(=O)OCCSSCCO*,38,38,1.287998997,21.57061996,5.98E-13,2594.471842,3.393979224,1.51640518
*C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O*,22,22,1.166152111,21.99383703,2.61E-13,2818.030723,2.925478721,1.615569922
*C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O*,16,16,1.100818967,22.15684043,5.84E-13,3177.669191,2.781679933,1.592253103
*C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O*,19,19,1.146651746,21.1566706,8.83E-13,2907.659705,2.930686973,1.61805881
*C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O*,25,25,1.300649625,25.99709885,3.83E-13,2449.988465,3.221585841,1.62744985
*C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)C2(CCCCC2)c3ccc(cc3)O*,19,19,1.126607033,20.29466844,1.81E-13,2869.276856,2.844640284,1.586998343
*C(=O)c(ccc1)cc1C(=O)Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O*,17,17,1.023659693,22.43151325,3.38E-13,2870.321763,2.588829151,1.532712827
*C(=O)CCCCCCCCC(=O)Oc1cc2c(cc1)ccc(c2)O*,22,22,1.11596933,22.83552525,6.90E-13,3124.25808,3.208217944,1.569054071
*C(=O)c(ccc1)cc1C(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,27,27,1.260124175,23.87834683,3.41E-13,2401.492875,3.305113941,1.671334271
*C(=O)c(ccc1)cc1C(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O*,22,22,1.219720836,23.71725027,5.49E-13,2731.605165,2.981634386,1.589599252
*C(=O)c(ccc1)cc1C(=O)Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O*,21,21,1.178811571,16.39645108,2.50E-13,2722.935894,2.930766257,1.619753948
*C(=O)CCCCCCCCC(=O)OCC#CCO*,26,26,1.061088697,22.20734615,9.67E-13,3334.233503,2.755015018,1.498695215
*C(=O)c(ccc1)cc1C(=O)OC(C1CO1)C(C2CO2)O*,31,31,1.248599163,18.51593264,1.47E-13,2618.453882,3.50603505,1.524496846
*C(=O)c(ccc1)cc1C(=O)OC/C=C/CO*,38,38,1.215255697,21.78683833,4.46E-13,2786.412836,2.944791293,1.578394626
*C(=O)c(ccc1)cc1C(=O)Oc1cccc(c1)O*,38,38,1.264283818,22.33183576,9.62E-13,2677.8382,3.249739583,1.628118774
*C(=O)c(ccc1)cc1C(=O)Oc1c(ccc2)c(ccc1)c2O*,31,31,1.241701473,24.49774417,7.45E-14,2476.66353,3.150541533,1.650880283
*C(=O)c(ccc1)cc1C(=O)Oc1cc2c(cc1)ccc(c2)O*,31,31,1.264407609,25.40997076,9.32E-14,2506.725019,3.296465991,1.686830382
*C(=O)CCCCC(=O)Oc1cc2c(cc1)ccc(c2)O*,29,29,1.202630259,22.10204541,7.74E-13,3006.619941,3.601209811,1.598415514
*C(=O)CCCCC(=O)OCC(COC(CCCC1)C1OC)O*,21,21,1.096025227,17.18036736,5.25E-13,3398.157063,2.554873198,1.452464357
*C(=O)CCCCC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O*,24,24,1.266121751,22.3872833,2.38E-13,2593.58032,3.3018916,1.577755869
*C(=O)c(ccc1)cc1C(=O)OC(C)(C)C#CC(C)(C)O*,28,28,1.055536939,21.35081315,4.08E-13,2928.888192,2.64418407,1.507267481
*C(=O)CCCCCCCCC(=O)OC(C)(C)C#CC(C)(C)O*,20,20,0.977221843,21.09369501,1.06E-12,3787.718851,2.404850218,1.450003762
*C(=O)CCCCC(=O)OCCSCCO*,32,32,1.17225702,21.32027091,1.72E-12,3396.83013,3.098507371,1.487216299
*C(=O)CCCCC(=O)OC/C=C/CO*,35,35,1.125142145,23.31694755,1.30E-12,3265.554975,3.149261026,1.471527019
*C(=O)CCCCC(=O)Oc1cccc(c1)O*,35,35,1.202827457,22.16951981,8.55E-13,3261.221351,3.525825213,1.530900417
*C(=O)CC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O*,31,31,1.327520414,20.94667486,4.69E-13,2439.960729,3.190528569,1.586550495
*C(=O)CCCCC(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O*,21,21,1.200219045,20.75408931,4.58E-13,2983.025765,2.963594945,1.543732846
*C(=O)CCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O*,21,21,1.114538069,22.07734065,1.30E-12,3257.543613,3.260032431,1.550014409
*C(=O)CCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O*,15,15,1.073772956,21.91847196,1.11E-12,3399.309467,3.090779024,1.551638556
*C(=O)CCCCC(=O)Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O*,17,17,1.029276841,22.55649437,7.41E-13,3306.791599,2.60367979,1.514901141
*C(=O)CCCCC(=O)OCC#CCO*,38,38,1.146572633,23.08709038,6.54E-13,3045.68053,2.831172831,1.483165821
*C(=O)CCCCC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,25,25,1.213623845,23.05499177,7.95E-13,2696.869583,3.474324068,1.603501604
*C(=O)CCCCCCCCC(=O)OC(C1CO1)C(C2CO2)O*,22,22,1.102549805,20.07674026,5.59E-13,3233.967433,3.229320195,1.444468333
*C(=O)CCCCCCCCC(=O)OCC(COC(CCCC1)C1OC)O*,17,17,1.045779144,18.15481852,1.39E-12,3749.903054,2.615509575,1.450132721
*C(=O)c1ccc(cc1)C(=O)OC(C)COC(C)COC(C)CO*,22,22,1.12594341,19.56057582,2.06E-13,3112.327027,2.620546044,1.498001394
*C(=O)c1ccc(cc1)C(=O)Oc1cccc(c1)O*,38,38,1.280726894,25.37378855,2.14E-13,2548.605214,3.188447003,1.639856022
*C(=O)c1ccc(cc1)C(=O)Oc1c(ccc2)c(ccc1)c2O*,31,31,1.237987466,36.32497598,5.86E-13,2640.069889,3.047051719,1.656452734
*C(=O)c1ccc(cc1)C(=O)Oc1cc2c(cc1)ccc(c2)O*,31,31,1.253880449,27.57699342,3.95E-13,2556.253072,3.320186322,1.694594723
*C(=O)c1ccc(cc1)C(=O)OCC#CCO*,41,41,1.22026209,24.03537791,1.59E-13,2615.501722,2.945314611,1.588306177
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O*,22,22,1.153460539,27.54809023,6.42E-13,2764.907248,2.914325157,1.616020351
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)Cc2ccc(cc2)O*,25,25,1.210050192,28.25220042,4.96E-13,2745.128434,3.05405314,1.6498051
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O*,25,25,1.302044056,24.36878528,3.79E-13,2431.403611,3.106858508,1.638271394
*C(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,27,27,1.256682794,27.27679334,3.14E-13,2456.919885,3.140605753,1.679311191
*C(=O)c1ccc(cc1)C(=O)OCC(COC(CCCC1)C1OC)O*,22,22,1.140370093,16.83673267,1.79E-13,2992.442891,2.668866512,1.513444336
*C(=O)c1ccc(cc1)C(=O)OCCSCCO*,34,34,1.257357115,21.88636744,4.21E-13,2630.332468,3.030624403,1.575279382
*C(=O)c1ccc(cc1)C(=O)OC(CS1)SCC1O*,35,35,1.295398334,20.16999067,6.99E-13,2769.027955,2.832999149,1.591272435
*C(=O)c1ccc(cc1)C(=O)OC(C1CO1)C(C2CO2)O*,31,31,1.236646466,21.26071262,6.30E-13,2656.897296,3.552667535,1.52586397
*C(=O)CC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,33,33,1.288116792,22.03317673,9.05E-13,2591.861193,3.198940475,1.636377288
*C(=O)c1ccc(cc1)C(=O)OC/C=C/CO*,38,38,1.22023539,23.33496138,4.68E-13,2709.976089,3.069636779,1.596098698
*C(=O)CCCCCCCCC(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O*,17,17,1.134821509,22.44348568,5.87E-13,3303.291907,2.889910871,1.529157759
*C(=O)CCCCCCCC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O*,21,21,1.158876912,22.09384999,7.77E-13,3338.557337,3.43678433,1.572398005
*C(=O)CCCCCCCC(=O)OC/C=C/CO*,27,27,1.064817438,22.67618233,1.16E-12,3534.000814,3.066251628,1.487559114
*C(=O)CCCCCCCC(=O)Oc1cccc(c1)O*,27,27,1.118449403,21.19859807,1.05E-12,3680.149409,3.255392344,1.516304306
*C(=O)CCCCCCCC(=O)Oc1cc2c(cc1)ccc(c2)O*,23,23,1.14121606,21.52579767,7.04E-13,3083.715779,3.138515906,1.585667932
*C(=O)CCCCCCCC(=O)OCC(COC(CCCC1)C1OC)O*,17,17,1.054687717,15.86482644,7.73E-13,3481.798345,2.53804746,1.447958544
*C(=O)CCCCCCCC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O*,20,20,1.208493349,23.43597794,4.31E-13,2786.886436,3.269965923,1.556016527
*C(=O)CCCCCCCC(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O*,16,16,1.092293887,21.1590387,5.33E-13,3105.819157,3.051426774,1.553961704
*C(=O)CCCCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O*,19,19,1.094138711,23.58614479,5.31E-13,3085.998133,3.23852743,1.544837714
*C(=O)CC(=O)OC(CS1)SCC1O*,47,47,1.376272588,22.00900842,2.84E-13,2402.114808,2.822030358,1.524908487
*C(=O)CCCCCCC(=O)Oc1cccc(c1)O*,29,29,1.146410516,23.32330019,6.03E-13,3185.478101,3.316187367,1.522875338
*C(=O)CCCCCCC(=O)Oc1cc2c(cc1)ccc(c2)O*,25,25,1.157235173,21.57176183,6.54E-13,3445.4782,3.515947103,1.595480833
